Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
Miles Austin,WR,CLE,BAL,5.802588486,,
Branden Oliver,RB,SD,KC,5.790420613,3500,1.654405889
Darrel Young,RB,WAS,DAL,5.789356531,3000,1.92978551
Bishop Sankey,RB,TEN,IND,5.778116524,3600,1.605032368
Lance Kendricks,TE,STL,SEA,5.774585878,3000,1.924861959
Jermaine Kearse,WR,SEA,STL,5.734574411,3000,1.911524804
Matt Hasselbeck,QB,IND,TEN,5.689088396,5000,1.137817679
Rhett Ellison,TE,MIN,CHI,5.631896732,3000,1.877298911
Chad Henne,QB,JAC,HOU,5.628194485,5200,1.082345093
Damien Williams,RB,MIA,NYJ,5.578819806,3000,1.859606602
Danny Amendola,WR,NE,BUF,5.534847677,4200,1.317820876
Derek Hagan,WR,TEN,IND,5.514711328,3000,1.838237109
Dexter McCluster,WR,TEN,IND,5.457384594,,
Damaris Johnson,WR,HOU,JAC,5.417398843,3000,1.805799614
Larry Fitzgerald,WR,ARI,SF,5.227570082,4700,1.112248954
Brandon Weeden,QB,DAL,WAS,5.176913709,5000,1.035382742
Cordarrelle Patterson,WR,MIN,CHI,5.154605583,3000,1.718201861
De'Anthony Thomas,RB,KC,SD,5.118823816,3400,1.505536417
Justin Hunter,WR,TEN,IND,5.104126854,,
Ryan Lindley,QB,ARI,SF,5.083367412,5000,1.016673483
Logan Thomas,QB,ARI,SF,5.064566101,5000,1.01291322
Carson Palmer,QB,ARI,SF,5.064566101,,
Joe Webb,QB,CAR,ATL,5.037708785,5000,1.007541757
Kris Durham,WR,TEN,IND,5.013341462,3000,1.671113821
Doug Martin,RB,TB,NO,5.012780479,3300,1.519024387
Jaron Brown,WR,ARI,SF,5.005852115,3000,1.668617372
Nick Foles,QB,PHI,NYG,5.001651414,5000,1.000330283
Zurlon Tipton,RB,IND,TEN,4.968982519,3000,1.656327506
Owen Daniels,TE,BAL,CLE,4.920866079,3200,1.53777065
Taylor Thompson,TE,TEN,IND,4.902776157,,
Craig Stevens,TE,TEN,IND,4.902776157,,
Louis Murphy,WR,TB,NO,4.876114884,,
Ryan Griffin,TE,HOU,JAC,4.844541275,3000,1.614847092
Andrew Quarless,TE,GB,DET,4.842184424,3000,1.614061475
Chris Thompson,RB,WAS,DAL,4.817319345,3000,1.605773115
Stepfan Taylor,RB,ARI,SF,4.811251048,3000,1.603750349
Matt Moore,QB,MIA,NYJ,4.795998723,5000,0.959199745
Kellen Clemens,QB,SD,KC,4.789318098,5000,0.95786362
Jacoby Jones,WR,BAL,CLE,4.743483159,3000,1.581161053
Donald Brown,RB,SD,KC,4.721489473,3600,1.311524854
Josh Hill,TE,NO,TB,4.714702606,3000,1.571567535
Levine Toilolo,TE,ATL,CAR,4.628687045,3000,1.542895682
Michael Vick,QB,NYJ,MIA,4.608695391,5000,0.921739078
Jeff Maehl,WR,PHI,NYG,4.605113062,3000,1.535037687
Brad Smith,WR,PHI,NYG,4.605113062,3000,1.535037687
Andre Roberts,WR,WAS,DAL,4.602083279,3000,1.53402776
Bruce Miller,RB,SF,ARI,4.594694154,3000,1.531564718
Ryan Mallett,QB,HOU,JAC,4.591091114,,
Trent Richardson,RB,IND,TEN,4.577473992,3000,1.525824664
A.J. Jenkins,WR,KC,SD,4.560369984,,
